replication,success_rate,completed,cancelled,failures,resource_utilization,requested_jobs,completed_jobs,assumed_jobs,waiting_jobs,working_jobs,wait_aircraft_hours,work_aircraft_hours,wait_resource_aircraft_hours,wait_shift_aircraft_hours,daily_assumed_ready_aircraft
140,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
141,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
142,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
143,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
144,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
145,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
146,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
147,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
148,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
149,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
150,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
151,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
152,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
153,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
154,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
155,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
156,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
157,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
158,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
159,1.0,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
160,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
161,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
162,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
163,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
164,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
165,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
166,0.7777777777777778,6,0,3,0.03125000000000003,18,18,0,0,0,0.0,9.000000000000007,0.0,0.0,36
167,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
168,0.7777777777777778,7,0,2,0.03125000000000001,18,18,0,0,0,0.0,9.000000000000002,0.0,0.0,36
169,0.7777777777777778,7,0,2,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
170,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
171,0.8888888888888888,8,0,1,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
172,1.0,9,0,0,0.03125,18,18,0,0,0,0.0,9.0,0.0,0.0,36
