replication,availability,failures,effective_supply_aircraft_hours,fulfillment,requested,started,completed,aborted,cancelled,aircraft_sorties,completed_aircraft_sorties,preparation_aircraft_hours,ready_aircraft_hours,all_completed,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours,successful,requested_aircraft_sorties,successful_aircraft_sorties,started_rate,success_rate,completion_rate,all_successful
106,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
107,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
108,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
109,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
110,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
111,0.9261620404741393,2,30.789493764334694,0.5701758104506425,9,6,4,2,3,12,8,8.5,76.31861053291698,0,6.0,20.3079528263835,6.0,1.5184590620488052,5,18,10,0.6666666666666666,0.5555555555555556,0.4444444444444444,0
112,0.9802005976933954,1,34.379660832569705,0.6366603857883278,9,6,5,1,3,12,10,9.0,80.26922523527924,0,6.0,23.379660832569705,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
113,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
114,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
115,0.9956036302537437,1,30.181960397272732,0.5589251925420876,9,6,5,1,3,12,10,9.0,87.09398216062999,0,5.181960397272732,20.0,5.181960397272732,0.18196039727273217,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
116,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
117,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
118,0.9941004112150185,1,35.352636530218916,0.6546784542633133,9,6,5,1,3,12,10,9.0,81.47414094985321,0,6.0,24.0,6.0,0.6473634697810837,6,18,12,0.6666666666666666,0.6666666666666666,0.5555555555555556,0
